# {"t_start": 1583034220.150134, "env_id": "Hopper-v2"} 
r,l,t
269.305009,108,3144.624617
303.842883,116,3146.177306
283.521903,111,3212.275186
325.204098,122,3213.542066
289.427911,113,3214.621811
276.814252,111,3215.679042
295.626134,116,3216.828829
307.065281,120,3217.998444
298.474473,114,3219.182613
316.625791,120,3220.434975
278.293528,109,3221.489843
330.448189,124,3222.661668
307.634854,117,3223.796808
291.913013,114,3224.914358
300.539777,115,3226.152202
317.606673,119,3227.336419
296.062558,115,3228.489567
310.417784,119,3229.780948
271.869609,109,3230.899327
323.439557,121,3232.173553
310.383522,120,3296.085202
302.136105,117,3297.307038
318.855626,122,3298.52123
311.132252,118,3299.748317
311.111837,119,3300.933424
317.752741,120,3302.075907
270.515648,108,3303.130815
333.596163,122,3304.464142
325.260349,122,3305.800245
301.140319,116,3307.090606
289.392565,112,3308.279556
294.756619,113,3309.460701
299.050189,116,3310.583972
291.085885,113,3312.0083
311.031876,118,3313.602178
309.166439,122,3315.180171
292.938854,114,3316.707513
320.05441,122,3388.85648
308.117575,117,3390.09387
314.350836,120,3391.432067
313.896956,118,3392.683074
307.973082,118,3393.956846
331.623852,124,3395.376382
308.874334,117,3396.587903
325.832483,126,3397.812888
315.820332,121,3399.061511
319.402699,119,3400.265405
310.47999,118,3401.414952
306.923853,118,3402.533314
352.568379,127,3403.825074
310.086939,118,3405.047036
