# {"env_id": "Hopper-v2", "t_start": 1582971912.1432471} 
r,l,t
5.053814,7,717.219953
6.28079,10,717.305941
4.37145,7,717.364588
4.714174,9,717.440312
6.481311,12,717.542767
6.790102,9,851.540806
7.053293,9,851.651413
6.235338,9,851.762955
5.782825,9,851.869283
7.527165,11,851.994874
6.978826,10,852.113998
6.822119,8,852.213575
7.976997,10,852.368596
4.758444,9,852.490525
9.098945,11,852.631457
5.493299,9,852.745065
7.372866,9,852.850385
7.304342,13,853.009845
8.452992,11,853.144524
5.171258,8,853.241123
5.408326,9,853.361492
4.44926,7,853.443289
6.629728,11,853.580271
4.090045,7,853.661981
6.170755,8,853.761796
9.370499,11,853.885993
4.899865,7,853.965717
4.332394,9,854.073685
3.259525,12,854.20981
6.440922,8,854.299278
6.497585,8,854.385689
7.658108,10,854.519562
6.283266,11,854.635105
7.152658,9,854.724316
3.406329,9,854.827936
5.1149,8,854.923432
7.778846,10,855.034236
4.844241,7,855.133561
3.295282,8,855.251459
6.02718,9,855.358039
4.311874,8,855.446799
3.173638,8,855.542398
9.001894,11,855.657948
4.394912,7,855.733285
8.497041,10,855.836894
4.492214,7,855.924471
6.060324,9,856.008843
3.800697,7,856.086675
6.508164,10,856.181339
10.096664,14,856.339684
5.58602,8,856.433392
3.800741,7,856.51805
5.028981,7,856.599414
5.704392,9,856.706496
4.90688,8,856.795607
4.337891,7,856.875682
7.412585,11,857.001698
4.050801,9,857.106018
6.015262,8,857.203404
5.792765,8,857.297298
5.370673,9,857.405712
6.099613,8,857.496204
4.470775,9,857.606514
4.722691,8,857.699265
5.488164,8,857.791137
5.31754,7,857.86945
3.815583,9,857.970196
3.307111,8,858.052438
5.629534,9,858.141227
4.594306,10,858.239171
8.48192,11,858.353226
4.297912,8,858.433252
4.169548,7,858.505653
6.513648,8,858.586996
8.320686,10,858.688627
4.443613,8,858.768166
4.839236,7,858.846595
6.640046,9,858.93403
8.977611,12,859.064403
4.98996,7,859.158058
6.870938,9,859.26134
2.919541,10,859.361062
5.455499,8,859.450821
6.385129,8,859.540031
4.933861,8,859.630171
5.166029,8,859.72001
4.346051,7,859.795368
9.260721,13,859.943792
5.833856,8,860.05288
11.356228,13,860.237464
5.815218,8,860.321859
6.661033,8,860.408264
6.747251,9,860.496176
5.423073,11,860.591861
8.610225,10,860.681691
4.247369,9,860.765216
5.521614,8,860.841471
5.332388,8,860.932377
3.477157,10,861.036505
5.251738,8,861.122088
6.129434,9,861.216129
4.110033,7,861.310203
6.408304,8,861.398999
6.167885,8,861.500292
3.489454,7,861.594615
4.275362,7,861.68174
7.004301,12,861.829062
5.251499,9,861.959089
3.970123,8,862.08643
4.708849,7,862.199888
5.340738,11,862.353137
4.490745,11,862.50786
4.305479,9,862.629332
5.531174,8,862.728183
7.080665,9,862.82995
3.966875,7,862.920605
6.263011,9,863.025541
5.76625,8,863.110831
3.588311,9,863.225436
4.156427,7,863.310694
5.567503,8,863.420093
8.070308,10,863.568185
5.678627,8,863.69276
5.300506,9,863.82511
5.164446,8,863.920709
4.625823,8,864.01069
4.733112,7,864.091312
5.519967,10,864.21011
9.623827,15,864.393434
5.662375,8,864.487876
6.978536,9,864.567105
4.627346,7,864.653223
7.224907,9,864.766483
6.781782,9,864.889472
9.123359,11,865.024198
8.913691,12,865.173366
4.213439,9,865.289638
5.407083,8,865.384391
6.791706,9,865.499897
6.698479,9,865.597077
5.128878,8,865.693295
4.598024,7,865.753275
6.113782,9,865.843764
5.596828,11,865.988348
5.427952,8,866.077953
5.928775,8,866.166309
4.308425,7,866.250017
6.041654,8,866.328094
6.010986,8,866.420445
5.854037,8,866.515411
6.473228,8,866.607298
4.810284,9,866.721395
5.926816,8,866.813182
6.353894,9,866.895132
4.380635,9,866.982666
6.235214,10,867.088024
6.240904,10,867.183386
5.807907,8,867.260994
6.143864,9,867.363097
5.208708,12,867.485438
6.563891,9,867.57531
4.932159,10,867.672614
4.315919,7,867.746028
4.460976,8,867.825119
5.598302,8,867.907473
5.073337,7,867.976391
4.317036,8,868.066809
5.634525,12,868.184899
3.889778,7,868.246967
3.798856,7,868.322074
10.914043,12,868.446029
5.619599,9,868.546978
6.964684,11,868.659758
3.734068,11,868.780891
4.765817,7,868.85671
5.269047,8,868.944558
3.765184,8,869.042802
6.534244,11,869.166437
7.196697,9,869.268296
4.775668,10,869.372334
5.696362,9,869.468996
6.860721,9,869.561602
6.342878,9,869.657043
7.524726,10,869.761091
5.547759,8,869.843846
5.703014,8,869.935638
3.500532,7,870.019659
5.907052,9,870.123966
5.178684,8,870.212817
5.719519,8,870.298089
5.943859,8,870.3913
4.366349,9,870.497554
4.580159,9,870.600916
2.830716,6,870.673029
4.731609,10,870.798208
3.812133,9,870.899695
4.23958,7,870.978147
4.72864,7,871.059128
6.768902,9,871.163211
4.337506,10,871.279458
5.917414,8,871.36976
7.197428,11,871.478241
5.710699,9,871.571371
5.460334,8,871.653887
5.304574,9,871.741493
4.628005,9,871.828238
8.148232,10,871.928548
6.987063,10,872.022712
3.379745,6,872.08652
5.323744,8,872.166412
4.439905,7,872.232773
3.82572,7,872.303697
4.475242,12,872.420449
4.95863,9,872.509733
6.892625,9,872.597789
6.612229,9,872.691588
5.849088,8,872.77989
4.096852,8,872.877197
5.872502,8,872.959893
3.812844,8,873.034143
6.061961,8,873.116294
4.053127,10,873.214628
5.211292,8,873.290945
5.723193,9,873.378854
8.727504,10,873.478032
6.17587,10,873.578333
6.594678,9,873.658345
3.050616,7,873.723226
7.204892,9,873.800853
10.904931,13,873.910749
4.245497,7,873.985924
11.728723,13,874.107377
9.524173,12,874.214936
5.846514,9,874.296302
6.270378,8,874.370045
9.408636,13,1040.998653
5.049883,8,1041.100998
4.74472,7,1041.186209
6.443018,9,1041.285877
4.704334,7,1041.376428
6.089214,8,1041.473988
5.959832,8,1041.580166
5.930948,8,1041.684155
4.449567,7,1041.783678
4.178939,7,1041.871889
5.884562,8,1041.970456
4.694064,7,1042.045398
4.522413,9,1042.161652
5.391919,7,1042.24298
5.629665,8,1042.347453
4.692388,8,1042.44112
3.71192,8,1042.535188
4.173962,8,1042.640605
4.54105,7,1042.732089
5.877287,8,1042.822368
4.74698,7,1042.906478
2.874697,6,1042.972446
5.962852,8,1043.083405
6.119375,8,1043.190359
6.149636,8,1043.303083
5.072216,7,1043.39059
6.536388,10,1043.557211
4.361218,7,1043.655459
5.039388,7,1043.74726
6.046219,8,1043.83805
7.439014,10,1043.964755
5.129274,7,1044.055116
3.530372,7,1044.13655
6.290121,9,1044.248389
4.52312,7,1044.30924
5.248806,9,1044.385665
5.917423,8,1044.457001
6.513466,8,1044.524324
3.04369,7,1044.587928
4.383589,8,1044.66005
5.634227,8,1044.726917
4.184284,7,1044.786163
2.506124,7,1044.844946
3.486278,8,1044.915244
5.862059,8,1044.987067
3.881116,10,1045.071231
6.151441,9,1045.147685
5.91292,9,1045.224254
6.762098,9,1045.308061
5.171063,8,1045.388258
4.234828,8,1045.45692
4.43127,7,1045.516557
3.697991,6,1045.572919
6.407871,8,1045.64633
2.747333,7,1045.705253
6.440917,8,1045.776583
6.069227,9,1045.850543
6.142759,8,1045.916889
3.467491,7,1045.984633
4.356954,8,1046.066037
4.296526,8,1046.146487
4.044775,7,1046.217116
4.629925,8,1046.29871
5.769006,8,1046.380011
5.44926,10,1046.483484
4.395822,7,1046.552713
5.934969,10,1046.657325
4.925027,7,1046.72275
4.152688,8,1046.80177
4.812584,9,1046.886503
6.472077,9,1046.974722
7.374822,10,1047.064923
5.610626,9,1047.152106
6.51287,9,1047.246747
4.210117,7,1047.313349
6.655308,9,1047.403457
4.771586,8,1047.488938
4.774686,7,1047.556252
6.095585,8,1047.638963
4.644333,7,1047.705855
3.496131,6,1047.765108
3.367484,7,1047.832948
5.86793,9,1047.911033
2.922608,10,1048.006513
5.272809,8,1048.075231
4.601924,7,1048.144144
4.078733,7,1048.21259
